rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-210-org,   unk, f, 32, 19841013, , georgia, scollard, qld, caffey, 2138, 50, lawrence wackett crescent, suffolk downs, , 2154321, 3, NoRole
rec-37-org,   ind, m, 21, 19950414, pfc, william, partha, , frankston, 3047, 13, mellish place, , 02 54375669, 9636113, 6, NoRole
rec-457-dup-0, ind, , 36, 19800131, , jerome, sammta, vic, rocklands, 4714, 763, cromwell circuit, , , 8390018, 4, NoRole
rec-18-org,   rus, f, 28, 19880920, , nacoya, golovina, qld, burleigh heads, 5091, 14, goode street, , 03 93186111, 7584083, 1, NoRole
rec-106-dup-0, usa, f, 11, 20050930, , betanie, stummers, fic, poort, 4077, 30, hillebrant street, , 08 27886571, 6818588, 4, NoRole
rec-182-org,   ira, m, 11, 20050918, ms, harry, , , brighton, 5066, 4, buntine crescent, emerald agrigultural college, 02 14629602, 1806159, 9, NoRole
rec-383-org,   usa, , 29, 19870229, , nicholas, bailey, nsw, north epping, 5607, 756, appel crescent, , 02 80555534, 4899273, 1, NoRole
rec-44-dup-0, ind, f, 72, 19890308, , amy, ramaswami, , ellindank, 2041, 26, warrumbuo street, , 02 72262239, 2253246, 2, NoRole
rec-321-org,   usa, , 26, 19900913, ms, harley, larson, vic, piangil, 2360, 11, julia flynn avenue, , 618 44095689, 7654578, 9, NoRole
rec-443-org,   fin, f, 30, 19860608, , isabella, sallinen, nsw, coolah, 2227, 10, frencham place, , 02 28176371, 1100977, 2, NoRole
rec-203-org,   unk, f, 25, 19910422, , noah, straw, vic, spring gully, 4573, 145, beazley crescent, , 618 15728971, 8993685, 6, NoRole
rec-441-org,   eng, f, 10, 20061231, , kyle, kyles, , hazelwood park, 3011, 4, blamey crescent, , 03 70367631, 9169817, 6, NoRole
rec-65-org,   unk, f, 13, 20031021, ms, olivia, sckel, qld, bedourie, 2830, 11, aroona court, villa 2, 3 78862534, 3015307, 7, NoRole
rec-176-dup-0, eng, m, 29, 19870123, , steph nie, christoph erson, tas, lune river, 3152, , embleystreet, linto , 07 847 9480, 5446339, 3, NoRole
rec-120-org,   , f, 22, 19940320, , joshua, blake, qld, stanthorpe, 3028, 3, kingsmill street, rowethorpe, 613 31728424, 6647144, 0, NoRole
rec-194-dup-0, unk, , , 19721323, , olivxr, scme, nsw, fiddletown, 3536, , , , 612 16333820, 2419188, 7, NoRole
rec-2-org,   gre, m, 28, 19881128, ms, , rapti, nt, anula, 4716, 29, kirkham place, , 613 08878664, 8465992, 4, NoRole
rec-89-org,   usa, f, , 19840102, ms, kye, conner, , lilydale, 2082, 74, dianella street, kimberley grange, 07 34190329, 3694141, 4, NoRole
rec-359-org,   eng, f, 33, 19830515, mr, elizabeth, triggs, qld, pallarenda, 6111, 5, baldwin drive, riverside cp5, 03 35972015, 5789898, 6, NoRole
rec-247-org,   fin, m, 26, 19900211, , callie, peltonen, nsw, menangle park, 4566, 65, chippindall circuit, , 2 47719798, 4587558, 4, NoRole
rec-28-org,   usa, f, 27, 19891102, , brooke, craig, nsw, cecil park, 6030, 26, harris street, , , 8882438, 7, NoRole
rec-253-org,   usa, , 27, 19890112, ms, angus, wynn, vic, kotta, 2327, 16, somerset street, , 8 89435392, 2988818, 7, NoRole
rec-7-org,   abo, , 32, 19840604, , laura, marika, vic, jeparit, 6164, 41, shand place, , 618 10616216, 5249002, 2, NoRole
