rec_id, rec2_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-4610-org,   rec-2051-org, ger, f, 27, , , claire, daschke, qld, eton north, 5084, 110, lyndon street, , 3 93371368, 8303550, 5, NoRole
rec-2214-org,   rec-3488-org, chi, , 27, 19890725, , benjamin, tou, act, chapman, 5114, 13, bolger place, , 2 24169695, 3698109, 0, NoRole
rec-81-org,   rec-3451-org, eng, f, 22, , , , quigg, vic, panmure, 3154, 23, sternberg crescent, , 618 03501791, 2164748, 3, NoRole
rec-1477-dup-0, rec-684-org, usa, f, 23, 19880709, pfc, alexabdra, mercer, wa, forrest, 2285, 4, rose scott circuit, bega flats, 2 21299634, 7818304, 4, NoRole
rec-3234-org,   rec-1993-org, unk, , 30, 19860613, , kane, scime, wa, hannans, 2131, 8, pridham street, , 08 98873222, 8728265, 4, NoRole
rec-5018-org,   rec-914-org, eng, f, 34, 19820222, , shawn, alvey, nsw, numbla vale, 4390, 149, pelham close, omearas farm, , 3070936, 0, NoRole
rec-7927-dup-0, rec-7593-org, dut, n, 7, 20090108, , mikhaili, sneiders, ws, konnongorring, 4013, 26, walshplace, , 8 51969489, 7963349, 8, NoRole
rec-3946-org,   rec-5518-org, eng, f, 30, 19860306, mr, zachary, arrington, vic, noorinbee, 4880, 99, rivett street, , 08 87008754, 6672587, 9, NoRole
rec-5246-dup-0, rec-3862-org, tha, , 36, 19800115, sgt, brydee, prinya, ss, angle pafk, 3253, 2028, dickinson street, wondilibi, 617 95691132, 7689918, 1, NoRole
rec-7944-org,   rec-1695-org, cze, f, 31, 19850911, , charlotte, smicer, nsw, catalina, 6167, 268, delamere street, , 2 30528497, 2371054, 7, NoRole
rec-1834-org,   rec-729-org, eng, f, 28, 19880122, pfc, holly, croft, nsw, south durras, 5109, 15, bradfield street, , 612 56641696, 7513877, 5, NoRole
rec-4198-org,   rec-3814-org, ind, f, 23, , , fynn, palshikar, vic, peterborough, 3756, 8, maribyrnong avenue, , 618 36433304, 6736786, 5, NoRole
rec-6750-org,   rec-5387-org, ger, f, 13, 20030905, , nicole, mosbauer, nsw, , 2747, , boot place, , 2 41059452, 1874772, 7, NoRole
rec-4158-org,   rec-1267-org, rus, f, 27, 19891107, ms, natalee, marchenko, nsw, breeza, 4717, 64, valli place, , , 5897103, 6, NoRole
rec-801-org,   rec-6570-org, unk, f, 33, 19830711, , finn, scottjackson, qld, braemore, 2607, 1897, quambone place, phillip island, 08 87759182, 1756331, 6, NoRole
rec-5614-org,   rec-237-org, , f, , 19071102, ms, aidan, louca, vic, longlea, 4670, , elimatta street, , 08 36443165, 3381180, 7, NoRole
rec-6548-org,   rec-6064-org, unk, f, 13, , , thomas, scofield, qld, vincent, 2810, 15, bingham circuit, , 3 10888700, 3826341, 1, NoRole
rec-615-dup-0, rec-7918-org, ara, d, , 19471222, , rohan, ablala, qls, robina town centre, 2194, 108, verbrugghen street, , 3 92401727, 1802068, 4, NoRole
rec-2879-org,   rec-7677-org, tur, f, 28, , , charles, erez, qld, woodstock, 4352, 24, frencham place, palm springs vlge, 02 92051400, 5380821, 1, NoRole
rec-5030-dup-0, rec-2050-org, chi, j, 34, 19820211, mr, anastaska, yueh, tas, strathgogrdon, 4652, 18, fred lane crescent, , , 8350986, 5, NoRole
rec-7699-org,   rec-3734-org, usa, f, 27, 19890926, , lewis, morton, vic, ocean grove, 4670, 1, trumper street, tingara vlge, 08 05202475, 3967455, 6, NoRole
rec-1134-org,   rec-698-org, eng, f, 23, 19930827, hon, amy, morrish, tas, parattah, 4208, 179, archibald street, , 617 08451431, 8376456, 0, NoRole
rec-8179-org,   rec-6531-org, usa, m, 29, 19870919, ms, alannah, perez, qld, , 5048, 118, bootle place, , 3 75649305, 4901314, 1, NoRole
rec-6940-org,   rec-1328-org, eng, f, 28, 19880608, ms, tyler, tennyson, , taree, 2170, 32, gilbert street, apt 8 petrie mansions, 03 52672380, 2332713, 5, NoRole
rec-7947-org,   rec-7504-org, eng, f, 28, 19881101, , liam, thorn, vic, simpson, 2360, 24, lindwall place, villa 153, 08 22005798, 2553767, 9, NoRole
rec-1150-org,   rec-6541-org, chi, m, 22, , , charlie, jaw, act, oxley, 5065, 100, carslake loop, warwillah, 612 98332147, 3862033, 8, NoRole
rec-4805-org,   rec-1667-org, usa, f, 28, , mr, katelyn, green, nsw, badgerys creek, 6168, 4, morduant place, , 02 00066367, 5300587, 1, NoRole
rec-2285-org,   rec-2372-org, chi, f, , 19650310, ms, mikaela, che, vic, wonga park, 2140, 500, eltham place, garden settlement, 618 33121105, 3643847, 4, NoRole
rec-761-dup-0, rec-79-org, tur, f, 25, 20070105, ms, , jirecek, nsw, alexand ria, 2065, 137, yerralee road, , 08 39830376, 9603715, 8, NoRole
rec-7479-org,   rec-6791-org, chi, , 26, 19900421, ms, sarah, cha, qld, hammondville, 3182, 44, , mudhill, 03 12629637, 9239602, 6, NoRole
rec-8370-org,   rec-8561-org, unk, f, 26, 19901127, dr, william, strapp, qld, pickanjinnie, 5158, 88, chippindall circuit, , 613 60463216, 6136504, 6, NoRole
rec-8466-org,   rec-8588-org, unk, m, 19, 19971006, ms, michael, aarcy, , myrtleford, 2579, 8, beetaloo street, , 04 56646391, 4431669, 0, NoRole
rec-6115-org,   rec-3148-org, , f, , 19561125, , josephine, berry, qld, lansdowne, 2073, 40, springvale drive, , 3 73457231, 2104576, 7, NoRole
rec-4717-org,   rec-2928-org, unk, m, 20, 19961113, , harvey, scinto, wa, quedjinup, 2830, 96, gurrang avenue, , 08 75483945, 7868647, 3, NoRole
